state,date,positive
FL,20200304,2.0
FL,20200305,9.0
FL,20200306,9.0
FL,20200307,14.0
FL,20200308,17.0
FL,20200309,18.0
FL,20200310,19.0
FL,20200311,28.0
FL,20200312,32.0
FL,20200313,50.0
FL,20200314,77.0
FL,20200315,116.0
FL,20200316,141.0
FL,20200317,186.0
FL,20200318,314.0
FL,20200319,390.0
FL,20200320,520.0
FL,20200321,658.0
FL,20200322,830.0
FL,20200323,1171.0
FL,20200324,1412.0
FL,20200325,1682.0
FL,20200326,2355.0
FL,20200327,2765.0
FL,20200328,3763.0
FL,20200329,4246.0
FL,20200330,5473.0
FL,20200331,6338.0
FL,20200401,6955.0
FL,20200402,8010.0
FL,20200403,9585.0
FL,20200404,11111.0
FL,20200405,12151.0
FL,20200406,13324.0
FL,20200407,14747.0
FL,20200408,15455.0
FL,20200409,16364.0
FL,20200410,17531.0
FL,20200411,18494.0
FL,20200412,19355.0
FL,20200413,20601.0
FL,20200414,21367.0
FL,20200415,22511.0
FL,20200416,22897.0
FL,20200417,24119.0
FL,20200418,25269.0
FL,20200419,25996.0
FL,20200420,26660.0
FL,20200421,27495.0
FL,20200422,28309.0
FL,20200423,28832.0
FL,20200424,30174.0
FL,20200425,30839.0
FL,20200426,31528.0
FL,20200427,32138.0
FL,20200428,32846.0
FL,20200429,33193.0
FL,20200430,33690.0
FL,20200501,34728.0
FL,20200502,35463.0
FL,20200503,36078.0
FL,20200504,36897.0
FL,20200505,37439.0
FL,20200506,38002.0
FL,20200507,38828.0
FL,20200508,39199.0
FL,20200509,40001.0
FL,20200510,40596.0
FL,20200511,40982.0
FL,20200512,41923.0
FL,20200513,42402.0
FL,20200514,43210.0
FL,20200515,43210.0
FL,20200516,44811.0
FL,20200517,45588.0
FL,20200518,46442.0
FL,20200519,46944.0
FL,20200520,47471.0
FL,20200521,48675.0
FL,20200522,49451.0
FL,20200523,50127.0
FL,20200524,50867.0
FL,20200525,51746.0
FL,20200526,52255.0
FL,20200527,52634.0
FL,20200528,53285.0
FL,20200529,54497.0
FL,20200530,55424.0
FL,20200531,56163.0
FL,20200601,56830.0
FL,20200602,57447.0
FL,20200603,58764.0
FL,20200604,60183.0
FL,20200605,61488.0
FL,20200606,62758.0
FL,20200607,63938.0
FL,20200608,64904.0
FL,20200609,66000.0
FL,20200610,67371.0
FL,20200611,69069.0
FL,20200612,70971.0
FL,20200613,73552.0
FL,20200614,75568.0
FL,20200615,77326.0
FL,20200616,80109.0
FL,20200617,82719.0
FL,20200618,85926.0
FL,20200619,89748.0
FL,20200620,93797.0
FL,20200621,97291.0
FL,20200622,100217.0
FL,20200623,103503.0
FL,20200624,109014.0
FL,20200625,114018.0
FL,20200626,122960.0
FL,20200627,132545.0
FL,20200628,141075.0
FL,20200629,146341.0
FL,20200630,152434.0
FL,20200701,158997.0
FL,20200702,169106.0
FL,20200703,178594.0
FL,20200704,190052.0
FL,20200705,200111.0
FL,20200706,206447.0
FL,20200707,213794.0
FL,20200708,223783.0
FL,20200709,232718.0
FL,20200710,244151.0
FL,20200711,254511.0
FL,20200712,269811.0
FL,20200713,282435.0
FL,20200714,291629.0
FL,20200715,301810.0
FL,20200716,315775.0
FL,20200717,327241.0
GA,20200304,2.0
GA,20200305,2.0
GA,20200306,2.0
GA,20200307,6.0
GA,20200308,7.0
GA,20200309,12.0
GA,20200310,17.0
GA,20200311,22.0
GA,20200312,31.0
GA,20200313,42.0
GA,20200314,66.0
GA,20200315,99.0
GA,20200316,121.0
GA,20200317,146.0
GA,20200318,197.0
GA,20200319,287.0
GA,20200320,420.0
GA,20200321,507.0
GA,20200322,600.0
GA,20200323,772.0
GA,20200324,1026.0
GA,20200325,1247.0
GA,20200326,1525.0
GA,20200327,2001.0
GA,20200328,2366.0
GA,20200329,2651.0
GA,20200330,2809.0
GA,20200331,3929.0
GA,20200401,4638.0
GA,20200402,5348.0
GA,20200403,5831.0
GA,20200404,6160.0
GA,20200405,6647.0
GA,20200406,7314.0
GA,20200407,8818.0
GA,20200408,9901.0
GA,20200409,10566.0
GA,20200410,11483.0
GA,20200411,12159.0
GA,20200412,12452.0
GA,20200413,13315.0
GA,20200414,14223.0
GA,20200415,14987.0
GA,20200416,15669.0
GA,20200417,17194.0
GA,20200418,17669.0
GA,20200419,18301.0
GA,20200420,18947.0
GA,20200421,19881.0
GA,20200422,20740.0
GA,20200423,21512.0
GA,20200424,22147.0
GA,20200425,22695.0
GA,20200426,23401.0
GA,20200427,23913.0
GA,20200428,24615.0
GA,20200429,25572.0
GA,20200430,26155.0
GA,20200501,27270.0
GA,20200502,28306.0
GA,20200503,28602.0
GA,20200504,29368.0
GA,20200505,29711.0
GA,20200506,30696.0
GA,20200507,31439.0
GA,20200508,32106.0
GA,20200509,32532.0
GA,20200510,33441.0
GA,20200511,33927.0
GA,20200512,34635.0
GA,20200513,35332.0
GA,20200514,35858.0
GA,20200515,36681.0
GA,20200516,37147.0
GA,20200517,37701.0
GA,20200518,38081.0
GA,20200519,38721.0
GA,20200520,39647.0
GA,20200521,40405.0
GA,20200522,41218.0
GA,20200523,42132.0
GA,20200524,42838.0
GA,20200525,43344.0
GA,20200526,43730.0
GA,20200527,44421.0
GA,20200528,45070.0
GA,20200529,45670.0
GA,20200530,46286.0
GA,20200531,46986.0
GA,20200601,47618.0
GA,20200602,48207.0
GA,20200603,48894.0
GA,20200604,49847.0
GA,20200605,50621.0
GA,20200606,51309.0
GA,20200607,51898.0
GA,20200608,52497.0
GA,20200609,53249.0
GA,20200610,53980.0
GA,20200611,54973.0
GA,20200612,55783.0
GA,20200613,56801.0
GA,20200614,57681.0
GA,20200615,58414.0
GA,20200616,59078.0
GA,20200617,60030.0
GA,20200618,60912.0
GA,20200619,62009.0
GA,20200620,63809.0
GA,20200621,64701.0
GA,20200622,65928.0
GA,20200623,67678.0
GA,20200624,69381.0
GA,20200625,71095.0
GA,20200626,72995.0
GA,20200627,74985.0
GA,20200628,77210.0
GA,20200629,79417.0
GA,20200630,81291.0
GA,20200701,84237.0
GA,20200702,87709.0
GA,20200703,90493.0
GA,20200704,93319.0
GA,20200705,95516.0
GA,20200706,97064.0
GA,20200707,100470.0
GA,20200708,103890.0
GA,20200709,106727.0
GA,20200710,111211.0
GA,20200711,114401.0
GA,20200712,116926.0
GA,20200713,120569.0
GA,20200714,123963.0
GA,20200715,127834.0
GA,20200716,131275.0
GA,20200717,135183.0
NY,20200304,6.0
NY,20200305,22.0
NY,20200306,33.0
NY,20200307,76.0
NY,20200308,105.0
NY,20200309,142.0
NY,20200310,173.0
NY,20200311,216.0
NY,20200312,216.0
NY,20200313,421.0
NY,20200314,524.0
NY,20200315,729.0
NY,20200316,950.0
NY,20200317,1700.0
NY,20200318,2382.0
NY,20200319,4152.0
NY,20200320,7102.0
NY,20200321,10356.0
NY,20200322,15168.0
NY,20200323,20875.0
NY,20200324,25665.0
NY,20200325,30811.0
NY,20200326,37258.0
NY,20200327,44635.0
NY,20200328,52318.0
NY,20200329,59513.0
NY,20200330,66497.0
NY,20200331,75795.0
NY,20200401,83712.0
NY,20200402,92381.0
NY,20200403,102863.0
NY,20200404,113704.0
NY,20200405,122031.0
NY,20200406,130689.0
NY,20200407,138863.0
NY,20200408,149316.0
NY,20200409,159937.0
NY,20200410,170512.0
NY,20200411,180458.0
NY,20200412,188694.0
NY,20200413,195031.0
NY,20200414,202208.0
NY,20200415,213779.0
NY,20200416,222284.0
NY,20200417,229642.0
NY,20200418,236732.0
NY,20200419,242786.0
NY,20200420,247512.0
NY,20200421,251690.0
NY,20200422,257216.0
NY,20200423,263460.0
NY,20200424,271590.0
NY,20200425,282143.0
NY,20200426,288045.0
NY,20200427,291996.0
NY,20200428,295106.0
NY,20200429,299691.0
NY,20200430,304372.0
NY,20200501,308314.0
NY,20200502,312977.0
NY,20200503,316415.0
NY,20200504,318953.0
NY,20200505,321192.0
NY,20200506,323978.0
NY,20200507,327649.0
NY,20200508,330407.0
NY,20200509,333122.0
NY,20200510,335395.0
NY,20200511,337055.0
NY,20200512,338485.0
NY,20200513,340661.0
NY,20200514,343051.0
NY,20200515,345813.0
NY,20200516,348232.0
NY,20200517,350121.0
NY,20200518,351371.0
NY,20200519,352845.0
NY,20200520,354370.0
NY,20200521,356458.0
NY,20200522,358154.0
NY,20200523,359926.0
NY,20200524,361515.0
NY,20200525,362764.0
NY,20200526,363836.0
NY,20200527,364965.0
NY,20200528,366733.0
NY,20200529,368284.0
NY,20200530,369660.0
NY,20200531,370770.0
NY,20200601,371711.0
NY,20200602,373040.0
NY,20200603,374085.0
NY,20200604,375133.0
NY,20200605,376208.0
NY,20200606,377316.0
NY,20200607,378097.0
NY,20200608,378799.0
NY,20200609,379482.0
NY,20200610,380156.0
NY,20200611,380892.0
NY,20200612,381714.0
NY,20200613,382630.0
NY,20200614,383324.0
NY,20200615,383944.0
NY,20200616,384575.0
NY,20200617,385142.0
NY,20200618,385760.0
NY,20200619,386556.0
NY,20200620,387272.0
NY,20200621,387936.0
NY,20200622,388488.0
NY,20200623,389085.0
NY,20200624,389666.0
NY,20200625,390415.0
NY,20200626,391220.0
NY,20200627,391923.0
NY,20200628,392539.0
NY,20200629,392930.0
NY,20200630,393454.0
NY,20200701,394079.0
NY,20200702,394954.0
NY,20200703,395872.0
NY,20200704,396598.0
NY,20200705,397131.0
NY,20200706,397649.0
NY,20200707,398237.0
NY,20200708,398929.0
NY,20200709,399513.0
NY,20200710,400299.0
NY,20200711,401029.0
NY,20200712,401706.0
NY,20200713,402263.0
NY,20200714,403175.0
NY,20200715,404006.0
NY,20200716,404775.0
NY,20200717,405551.0
TX,20200304,1.0
TX,20200305,1.0
TX,20200306,5.0
TX,20200307,8.0
TX,20200308,8.0
TX,20200309,12.0
TX,20200310,13.0
TX,20200311,21.0
TX,20200312,23.0
TX,20200313,39.0
TX,20200314,51.0
TX,20200315,56.0
TX,20200316,57.0
TX,20200317,64.0
TX,20200318,83.0
TX,20200319,143.0
TX,20200320,194.0
TX,20200321,304.0
TX,20200322,334.0
TX,20200323,352.0
TX,20200324,410.0
TX,20200325,974.0
TX,20200326,1396.0
TX,20200327,1731.0
TX,20200328,2052.0
TX,20200329,2552.0
TX,20200330,2877.0
TX,20200331,3266.0
TX,20200401,3997.0
TX,20200402,4669.0
TX,20200403,5330.0
TX,20200404,6110.0
TX,20200405,6812.0
TX,20200406,7276.0
TX,20200407,8262.0
TX,20200408,9353.0
TX,20200409,10230.0
TX,20200410,11671.0
TX,20200411,12561.0
TX,20200412,13484.0
TX,20200413,13906.0
TX,20200414,14624.0
TX,20200415,15492.0
TX,20200416,16455.0
TX,20200417,17371.0
TX,20200418,18260.0
TX,20200419,18923.0
TX,20200420,19458.0
TX,20200421,20196.0
TX,20200422,21069.0
TX,20200423,21944.0
TX,20200424,22806.0
TX,20200425,23773.0
TX,20200426,24631.0
TX,20200427,25297.0
TX,20200428,26171.0
TX,20200429,27054.0
TX,20200430,28087.0
TX,20200501,29229.0
TX,20200502,30522.0
TX,20200503,31548.0
TX,20200504,32332.0
TX,20200505,33369.0
TX,20200506,34422.0
TX,20200507,35390.0
TX,20200508,36609.0
TX,20200509,37860.0
TX,20200510,38869.0
TX,20200511,39869.0
TX,20200512,41048.0
TX,20200513,42403.0
TX,20200514,43851.0
TX,20200515,45198.0
TX,20200516,46999.0
TX,20200517,47784.0
TX,20200518,48693.0
TX,20200519,49912.0
TX,20200520,51323.0
TX,20200521,52268.0
TX,20200522,53449.0
TX,20200523,54509.0
TX,20200524,55348.0
TX,20200525,55971.0
TX,20200526,56560.0
TX,20200527,57921.0
TX,20200528,59776.0
TX,20200529,61006.0
TX,20200530,62338.0
TX,20200531,64287.0
TX,20200601,64880.0
TX,20200602,66568.0
TX,20200603,68271.0
TX,20200604,69920.0
TX,20200605,71613.0
TX,20200606,73553.0
TX,20200607,74978.0
TX,20200608,75616.0
TX,20200609,77253.0
TX,20200610,79757.0
TX,20200611,81583.0
TX,20200612,83680.0
TX,20200613,86011.0
TX,20200614,87854.0
TX,20200615,89108.0
TX,20200616,93206.0
TX,20200617,96335.0
TX,20200618,99851.0
TX,20200619,103305.0
TX,20200620,107735.0
TX,20200621,111601.0
TX,20200622,114881.0
TX,20200623,120370.0
TX,20200624,125921.0
TX,20200625,131917.0
TX,20200626,137624.0
TX,20200627,143371.0
TX,20200628,148728.0
TX,20200629,153011.0
TX,20200630,159986.0
TX,20200701,168062.0
TX,20200702,175977.0
TX,20200703,183532.0
TX,20200704,191790.0
TX,20200705,195239.0
TX,20200706,200557.0
TX,20200707,210585.0
TX,20200708,220564.0
TX,20200709,230346.0
TX,20200710,240111.0
TX,20200711,250462.0
TX,20200712,258658.0
TX,20200713,264313.0
TX,20200714,275058.0
TX,20200715,282365.0
TX,20200716,292656.0
TX,20200717,307572.0
WA,20200122,2.0
WA,20200123,2.0
WA,20200124,2.0
WA,20200125,2.0
WA,20200126,2.0
WA,20200127,2.0
WA,20200128,2.0
WA,20200129,3.0
WA,20200130,3.0
WA,20200131,3.0
WA,20200201,4.0
WA,20200202,6.0
WA,20200203,7.0
WA,20200204,8.0
WA,20200205,8.0
WA,20200206,11.0
WA,20200207,12.0
WA,20200208,13.0
WA,20200209,13.0
WA,20200210,16.0
WA,20200211,17.0
WA,20200212,18.0
WA,20200213,18.0
WA,20200214,21.0
WA,20200215,28.0
WA,20200216,35.0
WA,20200217,50.0
WA,20200218,59.0
WA,20200219,69.0
WA,20200220,82.0
WA,20200221,93.0
WA,20200222,106.0
WA,20200223,122.0
WA,20200224,148.0
WA,20200225,179.0
WA,20200226,208.0
WA,20200227,235.0
WA,20200228,275.0
WA,20200229,299.0
WA,20200301,377.0
WA,20200302,450.0
WA,20200303,534.0
WA,20200304,626.0
WA,20200305,731.0
WA,20200306,813.0
WA,20200307,912.0
WA,20200308,1065.0
WA,20200309,1237.0
WA,20200310,1453.0
WA,20200311,1665.0
WA,20200312,1921.0
WA,20200313,2218.0
WA,20200314,2484.0
WA,20200315,2738.0
WA,20200316,3107.0
WA,20200317,3432.0
WA,20200318,3810.0
WA,20200319,4146.0
WA,20200320,4551.0
WA,20200321,4837.0
WA,20200322,5121.0
WA,20200323,5568.0
WA,20200324,5923.0
WA,20200325,6329.0
WA,20200326,6700.0
WA,20200327,7076.0
WA,20200328,7397.0
WA,20200329,7715.0
WA,20200330,8120.0
WA,20200331,8431.0
WA,20200401,8869.0
WA,20200402,9201.0
WA,20200403,9485.0
WA,20200404,9732.0
WA,20200405,9953.0
WA,20200406,10282.0
WA,20200407,10547.0
WA,20200408,10831.0
WA,20200409,11118.0
WA,20200410,11395.0
WA,20200411,11605.0
WA,20200412,11775.0
WA,20200413,12079.0
WA,20200414,12303.0
WA,20200415,12619.0
WA,20200416,12872.0
WA,20200417,13174.0
WA,20200418,13407.0
WA,20200419,13583.0
WA,20200420,13890.0
WA,20200421,14133.0
WA,20200422,14375.0
WA,20200423,14628.0
WA,20200424,14913.0
WA,20200425,15110.0
WA,20200426,15292.0
WA,20200427,15566.0
WA,20200428,15798.0
WA,20200429,16042.0
WA,20200430,16309.0
WA,20200501,16653.0
WA,20200502,16802.0
WA,20200503,16943.0
WA,20200504,17209.0
WA,20200505,17470.0
WA,20200506,17718.0
WA,20200507,17914.0
WA,20200508,18124.0
WA,20200509,18275.0
WA,20200510,18449.0
WA,20200511,18741.0
WA,20200512,18952.0
WA,20200513,19179.0
WA,20200514,19424.0
WA,20200515,19650.0
WA,20200516,19838.0
WA,20200517,19991.0
WA,20200518,20286.0
WA,20200519,20535.0
WA,20200520,20784.0
WA,20200521,20988.0
WA,20200522,21283.0
WA,20200523,21492.0
WA,20200524,21652.0
WA,20200525,21909.0
WA,20200526,22184.0
WA,20200527,22483.0
WA,20200528,22753.0
WA,20200529,23047.0
WA,20200530,23275.0
WA,20200531,23456.0
WA,20200601,23798.0
WA,20200602,24086.0
WA,20200603,24385.0
WA,20200604,24677.0
WA,20200605,25023.0
WA,20200606,25227.0
WA,20200607,25419.0
WA,20200608,25732.0
WA,20200609,26004.0
WA,20200610,26281.0
WA,20200611,26559.0
WA,20200612,26825.0
WA,20200613,26985.0
WA,20200614,27095.0
WA,20200615,27493.0
WA,20200616,27925.0
WA,20200617,28255.0
WA,20200618,28575.0
WA,20200619,28666.0
WA,20200620,28680.0
WA,20200621,28225.0
WA,20200622,28680.0
WA,20200623,28870.0
WA,20200624,29386.0
WA,20200625,29869.0
WA,20200626,30367.0
WA,20200627,30855.0
WA,20200628,31404.0
WA,20200629,31752.0
WA,20200630,32253.0
WA,20200701,32824.0
WA,20200702,33435.0
WA,20200703,34151.0
WA,20200704,34778.0
WA,20200705,35247.0
WA,20200706,35898.0
WA,20200707,36985.0
WA,20200708,37420.0
WA,20200709,37941.0
WA,20200710,38581.0
WA,20200711,39218.0
WA,20200712,39218.0
WA,20200713,40656.0
WA,20200714,41757.0
WA,20200715,42304.0
WA,20200716,43046.0
WA,20200717,44313.0
